,English,Spanish
25,"Therefore, the proposal of the Group of the Party of European Socialists, and which you have mentioned, is that the Prodi Commission present its legislative programme on Wednesday, including its proposed administrative reform, because, otherwise, we could find ourselves in a paradoxical situation: on the pretext that there is no text, on the one hand, the President of the Commission would be denied his right to speak in this Parliament and, on the other hand, there would be a debate on a reform when Parliament had no prior knowledge of the texts on which it is based.","Por lo tanto, la propuesta que hace el Grupo del Partido de los Socialistas Europeos y que su Señoría ha mencionado es que el miércoles se mantenga la presentación del programa de legislatura de la Comisión Prodi, incluyendo dentro de este programa también el proyecto de reforma administrativa porque, de no ser así, nos podemos encontrar con una situación paradójica: con la excusa de que no hay texto, se niega por una parte el derecho al Presidente de la Comisión a hablar en este Parlamento y, por otra parte, que tenga lugar un debate sobre la reforma sin que este Parlamento conozca previamente los textos en que se basa."
26,"In other words, we should not establish conditionality, or we believe that it is more effective not to establish conditionality from the start, but, nevertheless, we should establish it with regard to the possible liberalisation of the second stage.","Dicho de otra forma, no establecemos una condicionalidad, o pensamos que es más efectivo no establecer una condicionalidad desde el momento inicial, y, sin embargo, la establecemos en cuanto a esa posible liberalización del segundo tramo."
27,It is precisely this process that undermines confidence every year.,Justamente este modo de actuar vuelve a erosionar cada año la confianza.
28,"As in other sectors, the general ban on state aid according to Article 87 (1) of the EC Treaty also applies to the iron and steel industry.","La prohibición general de las ayudas públicas que se establece en el apartado 1 del artículo 87 del Tratado CE también se aplica a la industria ferrosiderúrgica, igual que a los demás sectores."
29,This requires internal stability.,De ahí que la estabilidad interna sea necesaria.
30,"Nevertheless, we definitely have to do more.","Sin embargo, debemos hacer mucho más."
31,"The manner in which the Council, which is by far the most undemocratic institution in Europe, consulted the European Parliament makes a mockery of the concept of democracy.","El Parlamento ha sido consultado por el Consejo (que es, con diferencia, la Institución europea menos democrática) de un modo tal que se burla de la idea de democracia."
32,This is how we can give sense and morality to the commercial rules and show solidarity with the people of the south.,De este modo damos sentido y a la moralización de las reglas comerciales y a la solidaridad con los pueblos del sur.
33,The time for resolutions has passed.,Ya ha pasado el momento de las resoluciones.
34,"However, the financial controllers must work independently.",Pero quienes ejecuten el control financiero deben trabajar de manera independiente.
35,We therefore welcome the aggressive approach of Mr van Hulten' s report.,Por eso damos la bienvenida al dinamismo contenido en el informe de van Hulten.
36,Even the accumulation of money from the cohesion funds and the structural funds has failed to have the desired effect in all regions and countries.,Incluso la acumulación de recursos del Fondo de cohesión y de los Fondos estructurales no han producido en todas las regiones y países el efecto deseado.
37,"Nevertheless, given that the idea of solidarity is central to the process of European construction, this directive must take into account the fact that water resources should be seen as a factor in social cohesion.","Sin embargo, y partiendo de que la idea de la solidaridad es intrínseca al proceso de construcción europea, es preciso que esta directiva tenga en cuenta que los recursos hídricos deben ser entendidos como un factor de cohesión social."
38,Can you please do something about it?,¿Podría hacer usted algo a ese respecto?
39,"As regards eliminating the pollution generated by dangerous substances in the aquatic environment, an optimum approach should provide a regulation at both national and Community levels, which enables clearer identification of the various classes of bodies of water polluted as a result of human production activities.","En lo que se refiere a la eliminación de la contaminación producida por sustancias peligrosas en el medio ambiente acuático, la optimización del enfoque debería prever una reglamentación tanto a escala nacional como comunitaria con el fin de permitir una identificación mejor de las distintas tipologías de cuerpos hídricos contaminantes como consecuencia de las actividades productivas humanas."
40,"We are extremely concerned about moves by the Cuban Government over the last year that have further curtailed public freedom, moves like changes in the penal code and the scope of the death penalty.","Estamos sumamente inquietos por decisiones adoptadas el año pasado por el Gobierno de Cuba que han reducido aún más la libertad pública, decisiones como por ejemplo cambios del código penal y del ámbito de la pena de muerte."
41,We have submitted an amendment to this effect.,Hemos presentado una enmienda en ese sentido.
42,"Moreover, the manufacturers will not be financially accountable until 2006, when a good number of the existing vehicles will no longer be on the market. As for the remaining vehicles, we could nevertheless provide for some means of sharing costs, as is proposed in Amendments Nos 44 and 45 by Mr Lange, the only ones that seem compatible with the balancing of the common position and with the trials underway in some countries, and we should therefore support them.","Además, la responsabilidad financiera de los productores entrará en vigor sólo en el año 2006, cuando una buena parte del parque móvil existente ya habrá desaparecido del mercado; para los vehículos restantes se puede plantear, en todo caso, una forma de reparto de los costes, come proponen las enmiendas 44 y 45 presentadas por el Sr. Lange, las únicas que me parecen compatibles con el equilibrio de la posición común y con las experiencias en curso en algunos Estados, y que, por lo tanto, hay que respaldar."
43,It is about the WCT (World Copyright Treaty) and the WPPT (World Performance and Phonograms Treaty).,Se trata del WCT (World Copyright Treaty) y del WPPT (World Perfomance and Phonograms Treaty).
44,"Secondly, I agree with what has already been said on the issue of the islands and I would also like to bring the outermost regions to your attention.","En segundo lugar, concuerdo con las palabras aquí oídas a un diputado sobre la cuestión de las islas y quiero también llamar la atención sobre las regiones ultraperiféricas."
45,"In order to compensate for this situation, the European Commission should be obliged to make regular reports to us.","Para compensar esta situación, la Comisión Europea se debe a la elaboración, para el Parlamento Europeo, de informes regulares."
46,We might have been able to agree to the original text insofar as it was informed by a legitimate concern to update current legislation.,Podríamos haber estado de acuerdo con el texto inicial en la medida en que respondía a un interés legítimo de actualizar la legislación existente.
47,"Since I more or less share the views of my colleague, Mr Sjöstedt and the representative of the Greens, Mr de Roo, I am not going to use the two minutes allotted to me, and I will highlight just two issues.","Como comparto más o menos lo dicho por mi compañero Sjöstedt y por el representante de los Verdes De Roo, no voy a utilizar los dos minutos de que dispongo y hacer hincapié en sólo dos cuestiones."
48,The prevention of pollution and water deterioration has to be right as well as the ability to manage water in times of drought and flood.,"La prevención de la contaminación y el deterioro del agua es sin duda algo bueno, así como la capacidad de gestionar el agua en épocas de sequía y de inundaciones."
49,"As I see it, this means that Mr Haider' s politics are already casting their shadow over this Parliament.","En mi opinión, significa que la política de Haider ya ha comenzado ha proyectar su sombra sobre este Parlamento."
50,"I would like to say that the Council will only be able to respond to that part of your question in writing, at a later date.","Quiero decirle que, respecto de esa parte de su pregunta, el Consejo sólo podrá responder posteriormente y por escrito."
51,This is very much the line also just presented by Minister Amado.,Esto coincide en gran parte con lo que acaba de decir el Ministro Amado.
52,"Basically, we are opposed to programmes and structural funds of this type but, since the vote only concerns how - and not to what extent - these resources are to be used, we have confined ourselves to assessing the contents and think, in general, that the proposal for regenerating neighbourhoods in crisis contains some sensible observations, as well as some good suggestions and criteria for the relevant projects.","En principio somos contrarios a este tipo de programas y a los fondos estructurales, sin embargo, puesto que la votación sólo trata de cómo -y no si- estos recursos van a ser utilizados, sólo nos hemos expresado sobre el contenido del informe, siendo nuestra opinión general que la propuesta relativa a la regeneración de las zonas urbanas en crisis contiene reflexiones sensatas además de buenas propuestas y criterios para los proyectos."
53,"I sincerely hope that, in the interests of improving the safety and quality of life of the people living in the Middle East, all the key protagonists will move forward quickly, in the very near future, so as to reach an overall agreement on all the key matters which need to be resolved.","Yo espero sinceramente que en el interés de mejorar la seguridad y la calidad de vida de los pueblos que habitan Oriente Medio, todos los principales protagonistas avancen rápidamente en un futuro muy cercano para alcanzar un acuerdo general sobre todos los asuntos clave a los que debe darse una solución."
54,It could have sunk anywhere.,Habría podido hundirse en otra parte.
55,This derogation from the principle of the free movement of goods lapses on 30 June of this year.,Esta desviación del principio de libre circulación de personas y mercancías rige hasta el 30 de junio de este año.
56,It can be used on evidence from a minority or where science is incomplete.,El principio puede ser utilizado en base a la evidencia de una minoría o en casos en que la ciencia es incompleta.
57,"Moreover, I wonder at the reduced guidelines to which the Commission wishes to restrict LEADER+.","Por otra parte, tengo dudas sobre las limitadas orientaciones a las que la Comisión quiere reducir el LEADER +."
58,"Trade union representatives sit on the Disciplinary Board and the Staff Regulations Committee, thereby making it impossible to remove disloyal officials and preserving the Staff Regulations in their fossilised state.",Los representantes sindicales están en el Comité disciplinario del Estatuto con el fin de convertir en inamovible al funcionario infiel y de mantener inmovilizado el Estatuto.
59,"I would not presume to be able to summarise the content of our proposal better than he has done; I would just like to add one small point: in addition to adaptation to ESA 95, there are two small technical changes which Mr Knörr knows all about, relating to interest and the valuation of debt in foreign currency.","Yo no me atrevería a resumir mejor que él el contenido de nuestra propuesta; únicamente haría un pequeño comentario adicional diciendo que, además de la adaptación al SEC 95, hay dos pequeñas modificaciones técnicas que el Sr. Knörr conoce muy bien referidas a los intereses y a la evaluación de la deuda en moneda extranjera."
60,One of the most frequent criticisms of Community competition law is its excessive red tape.,Una de las críticas más frecuentes que se hacen del Derecho comunitario de la competencia es su excesivo formalismo.
61,Intergovernmental Conferences are a kind of event in themselves and could also be a type of Christmas tree.,"Ahora, las Conferencias Intergubernamentales son como un acontecimiento y pueden ser también como un árbol de Navidad."
62,"In this respect, I am pleased to see that the Committee on Regional Policy, Transport and Tourism has adopted one of my amendments calling on the Commission to devote a specific chapter in its next report on cohesion to the special case of the most remote regions and, more specifically, to consideration of the impact of the measures shortly to be adopted under new Article 299(2) of the Treaty of Amsterdam.","En este sentido, me alegro de que la Comisión de Política Regional haya adoptado una de mis enmiendas, que pide que la Comisión reserve un capítulo especial de su próximo informe sobre la cohesión al caso particular de la ultraperiferia y, más específicamente, al análisis del impacto de las medidas que se adoptarán próximamente en aplicación del nuevo artículo 299, párrafo 2, del Tratado de Amsterdam."
63,"Photographs show us that there is no life on the asteroid, but much further out in our galaxy, the Milky Way, there are about 300 billion stars, many with planets.","Las fotografías indican que no hay vida en el asteroide, pero mucho más lejos de nuestra galaxia, en la Via Láctea, hay unos 300.000 millones de estrellas, muchas de ellas con planetas."
64,"In the Netherlands, the competition authority is still in its infancy.",En los Países Bajos las autoridades de la competencia están todavía en pañales.
65,This certainly does not mean that I do not share the concern in Sweden surrounding the possible health problems which can be caused by alcohol abuse.,Esto no significa en absoluto que no comparta la preocupación existente en Suecia sobre los posibles problemas de salud que puede causar el abuso de alcohol.
66,We are also pleased that the situation in Timor is slowly moving in the right direction.,"Nos alegra, asimismo, que la situación en Timor evolucione gradualmente en la buena dirección."
67,"However, there are six, seven, eight, nine perhaps, subjects which it would be very appropriate and useful to address.","Pero hay seis, siete, ocho, quizá nueve temas que sería muy adecuado y útil que se abordaran."
68,"As far as that is concerned, I believe there are judicial uncertainties that need to be overcome.","En este contexto subsisten, a mi parecer, algunos puntos jurídicamente confusos, que habría que aclarar."
69,If the Commission can indeed restore confidence in the food production chain it will simultaneously restore confidence in the European Union institutions themselves and demonstrate their ability to protect the rights of EU citizens.,"Si la Comisión consigue realmente restablecer la confianza en la cadena de producción alimenticia, restablecerá simultáneamente la confianza en las propias instituciones de la Unión Europea y demostrará su capacidad de proteger los derechos de los ciudadanos de la Unión Europea."
70,"But, and I would like to stress this, this policy must also be accompanied by a coherent and convincing policy to promote employment and prevent social exclusion because unemployment, marginalisation and growing inequality are the best breeding grounds for anti-European, nationalistic actions and reactions.","Sin embargo -quiero resaltarlo-, esta política debe ir acompañada, además, de una política coherente y convincente de empleo y contra la exclusión social, pues el paro, la marginación y unas desigualdades crecientes constituyen un caldo de cultivo óptimo para los sentimientos y acciones nacionalistas de carácter antieuropeo."
71,"I welcome the fact that Commissioner Monti wants to make progress in this area in the dialogue with the European Parliament, as he does in the dialogue with non-governmental organisations, consumer protection associations and the public.","Yo me congratulo de que el Comisario Monti se proponga avanzar en este ámbito por medio del diálogo con el Parlamento Europeo, pero también a través del diálogo con las organizaciones no gubernamentales, las asociaciones de consumidores y los ciudadanos."
72,Amendment No 23 involves the Commission' s having to adopt quality standards for reusable components.,La enmienda 23 implica que la Comisión tendría que aprobar normas de calidad para los componentes reciclables.
73,I say this because the ball does not need to be in our court. This issue is in the hands of the governments and the Commission.,"Digo esto porque la pelota no tiene que estar en nuestro tejado, la pelota está en manos de los gobiernos y de la Comisión."
74,"Ultimately, we also need to achieve better cooperation, of course, between the European Court of Auditors and its national counterparts.","Finalmente, también hay que mejorar la cooperación entre el Tribunal Europeo de Cuentas y los correspondientes tribunales nacionales."
75,"We cannot, therefore, adopt the proposed Amendment for this reason.","Por eso, no podemos adoptar la enmienda propuesta."
76,"I totally agree with Mr von Boetticher and Mr Schulz' s remarks, and truly believe that the European Parliament and the Court of Justice need to be more involved in the area of freedom, security and justice, without having to derogate from their own powers.","Comparto plenamente lo que han dicho los Sres. von Boetticher y Schulz y considero totalmente cierto que el Parlamento Europeo y el Tribunal de Justicia deben implicarse más aún, si cabe, en el espacio de libertad, seguridad y justicia sin tener que renunciar a sus poderes."
77,The manufacturers have tricked Mr Florenz and Mr Lange into tabling amendments here which seriously weaken these proposals.,Los fabricantes han engañado al Sr. Florenz y al Sr. Lange para que presenten aquí unas enmiendas que debilitan considerablemente estas propuestas.
78,"Madam President, the Socialist Group proposes the following oral amendment.","Señora Presidenta, el Grupo Socialista propone la siguiente enmienda oral."
79,"Apart from Amendment No 76, which was an error, since I intended to vote in favour, the rest of my votes can be explained by means of the following fictional situation:","Salvo en la enmienda 76, en la que tuve un error, pues mi intención fue votar positivamente, el resto de mis votos podrían explicarse con el siguiente relato de ficción:"
80,"Our people expect more Europe, but not just any Europe.","Nuestros conciudadanos esperan de nosotros más Europa, pero no cualquier Europa."
81,It is clear that this needs to be developed at all levels and it needs to recognise the needs of each level within the Commission.,Es evidente que es necesario que esto se desarrolle a todos los niveles y que es necesario reconocer las demandas de cada nivel en el seno de la Comisión.
82,"However, it was withdrawn from the Committee on Budgets last night without being discussed or voted on.","Sin embargo, anoche fue retirado de la Comisión de Presupuestos sin que se hubiera examinado ni votado."
83,"Provide the Commission with the necessary resources and recognition essential for it to carry out its work and for it to verify the real progress made at Community level and at the level of the Member States, and we will be - and the Council will be - able to deal with the decisions made at Tampere and move towards a Union which is freer, more just and more secure.","Dote a la Comisión Europea de los recursos necesarios y del reconocimiento indispensable para que haga su trabajo y para que pueda verificar los avances reales en el ámbito comunitario y en los Estados miembros, y estaremos -y estará el Consejo- a la altura de las decisiones tomadas en Tampere para avanzar hacia una Unión más libre, más justa y más segura."
84,A technical working party made up of Council and Parliament representatives met in January 1999 to try and reconcile the positions of the two institutions.,"Un grupo de trabajo técnico integrado por representantes del Consejo y del Parlamento se reunió, en enero de 1999, para tratar de aproximar las posiciones de nuestras dos instituciones."
85,"Consequently, we too shall also vote to reserve our right to refer the proposal back to committee if need be.","Según cuál sea ésta, vamos a votar, naturalmente, la devolución a comisión del informe si es necesario."
86,A simple gesture such as turning on a tap seems to bring water straight from the source.,Porque un gesto tan sencillo como abrir un grifo parece tan evidente como el agua clara.
87,There have always been natural disasters and there always will be.,Siempre ha habido desastres naturales y seguirán ocurriendo.
88,"To me, this Commission strategy paper for the next five years reads like a scientific paper on the European Union or a declaration of principle. Unfortunately, it does not give the impression of being a real political strategy on the part of the Commission.","Personalmente, tengo la impresión de que el documento estratégico de la Comisión para los próximos cinco años se puede leer como un trabajo científico sobre la Unión Europea o como una declaración de principios, pero lamentablemente no parece reflejar una auténtica estrategia política de la Comisión."
89,"Expenditure becomes an end in itself, evidence of the success of a programme.",El gasto se convierte en un fin en sí mismo y en el testimonio del éxito de un programa.
90,"The cost of maintaining the environment, which we all enjoy, must be met by all of us, and the LIFE programme is the only financial instrument aimed exclusively at the environment and whose projects have generally been effective.","El coste del mantenimiento del medio ambiente, que todos disfrutamos, debe correr a cargo de todos, y el programa LIFE es el único instrumento financiero destinado exclusivamente al medio ambiente y cuyos proyectos han sido en general eficaces."
91,It will therefore be necessary to increase the quality of the programmes because the EAGGF is supposed to be an effective financial instrument.,"Por consiguiente, será necesario elevar la calidad de los programas pues el FEOGA va a ser un eficaz instrumento financiero."
92,The spread of an epidemic as the result of bringing in one sick animal can have huge consequences for farmers.,La propagación de epizootias a través de la introducción inadvertida de un animal enfermo puede tener enormes consecuencias para los ganaderos.
93,Its aim is to improve the quality of water and the reliability of the water supply and sewage systems.,Su objetivo es mejorar la calidad del agua y la seguridad de los sistemas de distribución.
94,And as soon as these are published in the Official Journal the remaining months - in fact six months - can be used to submit LEADER+ programmes.,"Y una vez publicadas en el Diario Oficial mediarán solamente los meses, en concreto, seis meses, para presentar programas LEADER+."
95,"This may, of course, be seen as an issue concerning the internal market, but also as a public health matter for the whole EU.","Este asunto puede verse como propio del mercado interior pero, también, como un asunto que concierne a la salud pública en el ámbito comunitario."
96,"There is no doubt that we have reached a fundamental point, highlighted by Mrs Frassoni, given that we now have an automatic information system.","Sin duda alguna, en un punto fundamental, puesto de relieve por la Sra. Frassoni, y es que tenemos un sistema automático de información."
97,"I also note that eligibility for expenditure shall be accepted from the date that programmes are presented and I can confirm the possibility that they may be available retroactively back to 1 January, if the programme is presented before 30 April.","Advierto también que la elegibilidad de los gastos se admitirá a partir de la fecha de presentación de los programas, y confirmo la posibilidad de retroactividad hasta el 1 de enero si el programa se presenta antes del 30 de abril."
98,Essentially - and with legal change - the Commission will systematically move away from the current centralised system of prior approval of each financial transaction by the Financial Controller and instead strengthen the internal control systems within spending departments so that Directors-General are better equipped to take responsibility for decisions with an impact on the European Union budget.,"Esencialmente - y con un cambio legislativo - la Comisión se alejará sistemáticamente del actual sistema centralizado de la previa autorización del Interventor Financiero para cada transacción financiera y, en su lugar, reforzará los sistemas internos de control dentro de los departamentos de gasto de suerte que los Directores Generales estén mejor dotados para asumir la responsabilidad por las decisiones que tengan influencia en el presupuesto de la Unión Europea."
99,We need to look very carefully at those.,Debemos analizarlos con mucha atención.
100,"The first principle means creating a new 'pact' between farmers and society, making the farmer 'steward of the countryside' and ensuring that society is prepared to pay for the environmental services needed to safeguard the countryside' s recreation value.","Mediante el primero se pretende crear un nuevo pacto entre el agricultor y la sociedad, con objeto de que el agricultor se convierta en administrador del espacio rural, a la vez que la sociedad esté dispuesta a pagar los servicios ecológicos necesarios para salvaguardar el valor recreativo del espacio rural."
101,"The point that the Portuguese Presidency wishes to reiterate here is that we intend to keep issues connected with the area of freedom, security and justice at the top of the presidency' s political agenda.","La Presidencia portuguesa así lo reafirma aquí y reafirmamos nuestra voluntad de seguir dando prioridad en la agenda política de la Presidencia a los asuntos relacionados con el Espacio de libertad, seguridad y justicia."
102,This framework directive is intended to paint the broad brushstrokes of the policy for the next decades and there has been much panic over the details.,Esta directiva marco tiene el objetivo de trazar las bases de la política para las próximas décadas y no ha sido poco el pánico que ha despertado sobre los pormenores.
103,It seems that the key goal there has become the construction and painting of propaganda panels advertising the fact that such and such a project has been co-financed by the European Union.,La colocación de las vallas publicitarias diciendo que la Unión Europea cofinancia el correspondiente proyecto parece haberse convertido en el objetivo principal.
104,"However, Mr Decourrière does show some common sense by denouncing the failings of the Brussels technocrats.","Sin embargo, el señor Decourrière aporta reflexiones de sentido común, que denuncian las carencias de los tecnócratas de Bruselas."
105,"Mr President, on behalf of Commission President, Mr Prodi, I would like to respond as follows.",". (NL) Presidente, en nombre del Presidente de la Comisión, el Sr. Prodi, me gustaría dar la siguiente respuesta."
106,There is the risk of creating a monopoly within the car dismantling trade. This particularly applies in areas within the EU where distances are great and where a lot of small companies are involved in dismantling vehicles.,"Se corre el riesgo de que se cree una situación de monopolio en el sector de los desguaces, especialmente en las regiones de la Unión en que las distancias son considerables y en las que hay muchas pequeñas empresas dedicadas a esto."
107,The chosen threshold of 50 projects seems too low.,El techo elegido parece demasiado bajo. Se ha fijado en 50 proyectos.
108,"What are the values of the Belgian Socialist Party, which only goes from paedophilia scandals to corruption scandals, via Vandam and Agusta?","¿Cuáles son los valores del Partido Socialista belga, que de los asuntos de pedofilia va a los de corrupción pasando por los de Vandam, como el caso Agusta?"
109,"Thirdly, one of the best approaches to this issue is to integrate gender as an important and cross-cutting issue into the most popular courses for development officials and above all perhaps for the project cycle management course which is key to good management of projects on the ground.","En tercer lugar, uno de los mejores enfoques de este tema es el de integrar las cuestiones de igualdad entre los sexos como tema transversal en los cursos más populares para los funcionarios dedicados a temas de desarrollo y, sobre todo, quizá para el curso de gestión del ciclo del proyecto, que es fundamental para una buena gestión de los proyectos sobre el terreno."
110,The Socialist Group has now changed its mind and this is why the report is not as clear as it would have been.,"Ese grupo ha cambiado de opinión, de ahí que el informe resulte ahora menos claro de lo que, de otro modo, habría sido."
111,"If we have not been able to reach agreement internally, I wonder whether we will then be able to convince the other trade partners.","Si ni siquiera hemos podido llegar a un acuerdo interno, ¿estaremos en condiciones de convencer de ello a otros socios comerciales?"
112,"Of course, there is a need for solidarity here.","En este contexto es necesaria, evidentemente, la solidaridad."
113,"As you know, at the 55th session of the Human Rights Commission held last year, the United States decided, at a very late stage, to table a draft resolution on China. This draft resolution was defeated by a Chinese no-action motion.","Como es sabido, el año pasado, en una fase ya muy avanzada del quincuagésimo quinto período de sesiones de la Comisión de Derechos Humanos, los Estados Unidos decidieron presentar un proyecto de resolución relativo a China, que fue derrotado por una propuesta china de no injerencia."
114,"What steps will the Council take in view of the above in order to ensure compliance with UN decisions and, in particular, resolution 1244 and prevent the secession of the province of Kosovo from Serbia?","¿Qué acciones piensa emprender el Consejo, a la vista de los hechos, para que se apliquen las resoluciones de las NU, especialmente la Resolución 1244, y para evitar la secesión de la provincia de Kosovo de Serbia?"
115,"Thank you, too, those who contributed to this matter' s being dealt with swiftly. I am thinking in particular of the Group of the Party of European Socialists.",Gracias también a quienes han contribuido a la rápida tramitación de este asunto; pienso especialmente en el Grupo PSE.
116,"It should be of comfort to the Commissioner that these elections will take place in 25 days time, since after that he will probably not have to deal with this type of question again.","Es un consuelo para el señor Comisario que dentro de veinticinco días se celebren estas elecciones, con lo que, probablemente, no se le volverán a plantear este tipo de preguntas."
