,English,German
74,"In order to assert our fundamental values, they need to be laid down in writing, as a matter of urgency, and, beyond this IGC, I believe we owe Europe a constitution.","Für die Durchsetzung unserer Grundwerte ist es dringend notwendig, diese schriftlich niederzulegen, und ich denke, daß wir - abgesehen von dieser Regierungskonferenz - Europa eine Verfassung geben müssen."
75,"In our report, we have highlighted the importance of combating poverty within the EU and of finding indicators as soon as possible so that we can make progress in this area.","In unserem Bericht haben wir insbesondere auf die Bekämpfung der Armut in der EU und die Ausarbeitung von Indikatoren dafür verwiesen, damit wir auch auf diesem Gebiet vorankommen."
76,"At the same time, however, I am asking for it to include issues that improve and complement the reform, I repeat, of all the institutional bodies as well as issues that are of direct concern and interest to the European public such as health, energy, culture, transport and even tourism.","Gleichzeitig fordere ich jedoch, daß dort auch Fragen, die die Reform - ich wiederhole es - aller Organe verbessern und vervollkommnen, sowie Themenbereiche erörtert werden, die die europäischen Bürger unmittelbar betreffen und interessieren. Dazu gehören beispielsweise Gesundheit, Energie, Kultur, Verkehr sowie Fremdenverkehr."
77,"I would just like to make a few comments, after reading the draft opinion and after listening to the speakers on behalf of the various groups.",Nach der Lektüre des Entwurfs der Stellungnahme und nach den Ausführungen der Redner der einzelnen Fraktionen möchte ich noch ein paar Bemerkungen anfügen.
78,"However, we are in Europe experiencing droughts and desertification in certain regions and also floods, which the directive underlines.","In Europa kommt es jedoch auch zu Dürre, zur Versteppung bestimmter Regionen, aber auch zu Überschwemmungen, was in der Richtlinie deutlich hervorgehoben wird."
79,I believe that this is actually a good thing.,Ich halte das auch für richtig.
80,"Of 62 projects in all, seven included applicant countries.",Bei 7 der 62 Projekte waren Beitrittskandidaten einbezogen.
81,"In my Member State, for example, we are developing a strategic approach in a White Paper and an urban government taskforce is looking at the problems of urban communities.","In meinem Mitgliedstaat wird beispielsweise derzeit ein Weißbuch mit einem Strategieansatz erarbeitet, während eine entsprechende Task Force der Regierung sich der Probleme städtischer Gemeinden annimmt."
82,"Who wishes to speak on behalf of the Group of the European Liberal, Democrat and Reform Party to propose the addition of an item on Cambodia?",Wer möchte im Namen der liberalen Fraktion für den Antrag auf einen Unterpunkt über Kambodscha sprechen?
83,That is the reality.,Das ist die Realität.
84,We have Commission documents which speak of firm commitments.,"Uns liegen Unterlagen vor, in denen von festen Mittelbindungen die Rede ist."
85,(Parliament rejected the proposal) President.,(Das Parlament lehnt den Antrag ab.)
86,"Photographs show us that there is no life on the asteroid, but much further out in our galaxy, the Milky Way, there are about 300 billion stars, many with planets.","Fotos belegen, daß auf diesem Asteroiden kein Leben existiert. In größerer Entfernung existieren in unserer Galaxie, der Milchstraße, jedoch etwa 300 Milliarden Sterne, viele davon mit Planeten."
87,"Absolutely, Mr Napolitano. Thank you.","Auf jeden Fall, Herr Napolitano, ich danken Ihnen."
88,"Today, a common strategy for social protection is sadly lacking, and the current systems are, in the main, run according to the actions and unity of purpose of individual Member States.","Bis heute gibt es keine gemeinsame Strategie des Sozialschutzes und der sozialen Sicherheit, und die geltenden Systeme basieren im wesentlichen auf dem Vorgehen und auf der Solidarität innerhalb der Mitgliedstaaten."
89,"I shall not even mention the instances of corruption in the Italian Socialist Party, because it does not do to kick a man when he is down, still less when he is dead and gone.","Von den Korruptionsaffären der italienischen Sozialistischen Partei will ich erst gar nicht reden, denn man schießt nicht auf einen Krankenwagen und erst recht nicht auf einen Leichenwagen."
90,". (DA) We oppose, on principle, the European Community' s entering into treaties on copyright law on behalf of the Member States.","Wir sind prinzipiell dagegen, daß die Europäische Gemeinschaft Verträge über Urheberrechte im Namen der Mitgliedstaaten abschließt."
91,"The negative consequences are well known, the positive ones less so.","Die negativen Folgen sind bekannt, die positiven weniger."
92,We are not talking about words here.,Wir reden hier nicht über Worte.
93,"He referred to United Kingdom border controls and I would like to say to him that Member States, and this includes the United Kingdom, are under no obligation at all to abolish or change controls at the existing borders.","Er hat auf die Grenzkontrollen hingewiesen, die im Vereinigten Königreich nach wie vor bestehen, und ich möchte ihm sagen, daß die Mitgliedstaaten - und damit auch das Vereinigte Königreich - keinesfalls verpflichtet sind, die Kontrollen an den noch bestehenden Grenzen abzuschaffen oder zu ändern."
94,"As you know, as currently framed, Community legislation requires port authorities to carry out inspections on board all foreign vessels, including those flying flags of convenience, and to detain them if they do not comply with international standards.","Bekanntlich sind nach dem Gemeinschaftsrecht in seiner aktuellen Form die Hafenbehörden verpflichtet, Kontrollen an Bord aller ausländischen Schiffe vorzunehmen, auch derjenigen, die unter Billigflagge fahren, und sie festzuhalten, falls sie die internationalen Normen nicht erfüllen."
95,"This legal framework is fairly advanced, at least if you compare it with what is happening at worldwide level and the Member States, under the supervision of the Commission, should endeavour to ensure that Community law is actually applied.","Dieser Rahmen ist entwickelt genug, zumindest wenn man die verschiedenen Regelungen weltweit vergleicht. Folglich müssen die Mitgliedstaaten, auch unter Aufsicht der Kommission, endlich damit beginnen, das Gemeinschaftsrecht tatsächlich anzuwenden."
96,The fraud and corruption scandals of the past have had a profoundly damaging effect on the confidence of Europe' s citizens.,Die Betrugs- und Korruptionsskandale der Vergangenheit haben das Vertrauen der Bürger Europas nachhaltig erschüttert.
97,"One condition is that money should be given to those who will make sensible use of it and not to those who might use it for pursuing other aims. In other words, we should ensure that the money falls to Mr Kouchner' s sphere of competence and not to other spheres.","Eine Bedingung ist, daß das Geld dorthin gegeben wird, wo es sinnvoll angewandt wird, und nicht zu denjenigen, die dieses Geld möglicherweise benutzen können, um anderweitige Zwecke damit zu verfolgen, das heißt, dieses Geld sollte wirklich in die Zuständigkeit von Herrn Kouchner gehen und nicht in andere Bereiche hinein."
98,The new Commission's own objective is to double the number of women managers before the end of its term of office.,Die neue Kommission will während der Dauer ihres Mandats die Anzahl weiblicher Leiter verdoppeln.
99,"Without wishing to ignore the progress which has been made, we, the European Parliament, would like to draw your attention to the unwillingness on the part of the Council to implement these decisions in many areas, as well as its lack of common vision and, in particular, the lack of transparency and cooperation with the European Parliament.","Ohne die erreichten Fortschritte kleinreden zu wollen, machen wir als Europäisches Parlament darauf aufmerksam, daß der Rat in vielen Bereichen offensichtlich nicht bereit war, die gefaßten Beschlüsse umzusetzen, daß eine gemeinsame Vision fehlt und es vor allem an Transparenz und der Bereitschaft mangelt, mit dem Europäischen Parlament zusammenzuarbeiten."
100,"A success which Parliament wishes and intends to see perpetuated, and this is why we also support amendment 14 outlining the fourth phase of the LIFE project.","Diesen Erfolg möchte das Parlament fortführen, und daher unterstützen wir den Änderungsantrag 14, mit dem die vierte Phase des Instruments LIFE gesichert werden soll."
101,I also expect the Commission to be pro-active in supporting us in our call for codecision in legislative procedures.,"Ich erwarte auch, daß die Kommission uns bei der Forderung nach Mitentscheidung im Gesetzgebungsverfahren offensiv unterstützen wird."
102,I would like to hear the Commissioner's view on Amendment No 45.,Mich würde die Ansicht der Kommissarin zu Änderungsantrag 45 interessieren.
103,Never before in history has humanitarian right been so well developed.,Nie zuvor in der Geschichte waren die Menschenrechte so weit entwickelt.
104,My second question pertains to the reconstruction of the hospital in Mitrovica.,Meine zweite Frage betrifft Ihren Hinweis auf den Wiederaufbau des Krankenhauses in Mitrovica.
105,Schroedter Report (A5-0108/1999),Bericht Schroedter (A5-0108/1999)
106,We were of the opinion that EURODAC was becoming a reality.,"Wir waren der Meinung, EURODAC wird Realität."
107,"First of all, we want to stop heavy metals from being used in the manufacture of new cars.",Zum ersten wollen wir die Verwendung giftiger Schwermetalle bei der Herstellung von Neuwagen einschränken.
108,"In this regard, I would also like to refer very briefly to the problems of the tunnels, which Messrs Rack and Swoboda have referred to, which, in the case of Austria, is doubtless a very sensitive issue, and great effort should be made to improve their safety.","In diesem Zusammenhang möchte ich auch ganz kurz auf die Probleme hinsichtlich der Tunnel eingehen, die von den Herren Rack und Swoboda angesprochen wurden und die im Falle Österreichs zweifellos ein sehr sensibles Thema sind, weshalb Anstrengungen unternommen werden müssen, um Möglichkeiten zur Erhöhung der Sicherheit zu finden."
109,"In November of 1991, after a long internal debate in Liberal International and many visits to Vienna to discuss issues, we suspended the FPÖ from membership and in July 1993 we expelled them.",Nach einer langen Debatte innerhalb der Liberalen Internationalen und nach zahlreichen Besuchen zu Gesprächen in Wien legten wir im November 1991 die Mitgliedschaft der FPÖ zeitweilig auf Eis und schlossen die Partei dann im Juli 1993 aus.
110,This is what has come of rushing headlong into enlargement and not clearly defining roles and tasks.,Dies sind die Ergebnisse übereilter Erweiterungsmaßnahmen und mangelnder Klarheit in bezug auf Funktionen und Aufgaben.
111,Tomorrow morning I will therefore table an amendment urging that we concentrate the sanctions on the regime itself while easing them somewhat for the people and for the economy in a spirit of economic cooperation.,"Ich werde daher morgen einen Änderungsantrag stellen, mit dem wir dafür eintreten, daß die Sanktionen auf das Regime konzentriert werden, andererseits jedoch gewisse Erleichterungen für die Bevölkerung und auch für die Wirtschaft im Sinne der wirtschaftlichen Kooperation gegeben werden."
