,English,Dutch
20,"Regarding the fight against organised crime, 1999 marked the implementation of several important actions stemming from the Vienna action plan, which resulted in the signing of the Charter of European Professional Associations, in developments in cooperation and in establishing points of contact between the Member States for receiving information relevant to the fight against money laundering.",Op het gebied van de bestrijding van de georganiseerde misdaad werden in 1999 een aantal belangrijke maatregelen genomen die voortvloeien uit het actieprogramma van Wenen. Zo werd met name het Handvest van Europese Beroepsorganisaties ondertekend en werden de samenwerking en de oprichting van contactpunten tussen de lidstaten bevorderd met het oog op de uitwisseling van belangrijke informatie in het kader van de strijd tegen het witwassen van geld.
21,"In point 18, Parliament suggests publishing a compendium of examples of successful initiatives.","In punt 18 stelt het Parlement voor, een handboek te publiceren met voorbeelden van geslaagde initiatieven."
22,"Of course, we are not here to defend a particular national interest or a particular industrial lobby. We are here to build a Europe that is competitive on the world market and to safeguard jobs in economic sectors where we are actually competitive.","Wij zijn hier niet om de belangen van een of ander land of industriële lobby te verdedigen, maar om een Europa tot stand te brengen dat op de wereldmarkt kan concurreren en om de werkgelegenheid in concurrerende bedrijfstakken te verdedigen."
23,When will we debate that?,Zullen wij ons daar echter ooit mee bezighouden?
24,"The EU should devise guidelines governing the quality of the job opportunities which are to be created, whatever that may mean.","De EU moet richtlijnen opstellen voor de kwaliteit van de banen die worden geschapen, wat dit ook mag betekenen."
25,"We experienced the human misery of flooded homes and farms, no sanitation, no drinking water and the environmental disasters of E.coli-infected water.","Soms stond het water vijf meter hoog. We hebben de menselijke ellende meegemaakt van ondergelopen huizen en boerderijen, van het wegvallen van sanitaire voorzieningen en drinkwater en met e.coli geïnfecteerd water, wat een heuse milieuramp is geweest."
26,It is most especially important not to create unnecessary problems before the enlargement of the EU.,Dit is vooral belangrijk om te vermijden dat er voor de uitbreiding overbodige problemen ontstaan.
27,Is it true that the contents of all parts of the proposal will be approved?,Klopt het dat alle delen van het voorstel inhoudelijk zullen worden overgenomen?
28,Mrs Theato has already expressed as much and I am only too willing to support her in this regard.,Collega Theato heeft dit reeds duidelijk naar voren gebracht. Ik kan haar op dit vlak alleen maar bijvallen.
29,"Even though the socialists, now that there are so many social democratic governments, talk much less about unemployment than they used to, the unemployment in question is still high, and this in spite of the trade boom.","Zelfs al hebben de socialisten - want er zijn tegenwoordig veel sociaal-democratische regeringen - het nu veel minder over de werkloosheid dan vroeger, toch is deze nog altijd veel te hoog, ondanks de internationale hoogconjunctuur."
30,"My party at home are certainly not racists, but we do not accept the rule or interference of the European Union very well.","In mijn eigen land zijn de leden van mijn partij zeker geen racisten, maar wij kunnen moeilijk dulden dat de Europese Unie haar wil oplegt of zich met binnenlandse politiek bemoeit."
31,"On behalf of the Commission, I would be more than happy to make myself available to Mr Karas in case he would like further information on this genuinely important point.",Namens de Commissie zou ik mij gaarne ter beschikking willen stellen van de heer Karas voor het geval dat hij nadere informatie over dit inderdaad belangrijke punt zou willen.
32,"Yet the whole of the Commission communication is based on the opposite theory. In this theory, on the pretext of ensuring the best protection for peoples, their margin of independent choice should be increasingly limited by new regulations, new policies or new, restrictive legal structures such as the draft Charter of Fundamental Rights.","Nu is de hele mededeling van de Commissie opgebouwd rond precies de tegenovergestelde premisse, namelijk dat we beter voor onze volkeren kunnen opkomen als we hun autonome manoeuvreerruimte steeds verder inperken met nieuwe regels, meer politieke integratie en nieuwe juridische constructies zoals het zogenaamde handvest van de grondrechten, een zeer slecht gekozen naam."
33,What guarantees are there of its reliability?,Welke garanties bestaan er voor de betrouwbaarheid?
34,"This assistance has delivered benefits in all sectors, in particular agriculture, infrastructure development, the private economy and the strengthening of institutions.","De steun heeft zijn vruchten afgeworpen in alle sectoren, in met name de landbouw, de infrastructuurontwikkeling en de particuliere economie en bij de institutionele versterking."
35,"This does not happen all that often and it is gratifying, especially as the LEADER programmes have been key elements in the Union' s rural development policy.",Dat is een zeldzaam genoegen. Bovendien zijn de LEADER-programma's altijd de sleutelelementen geweest in het beleid van de Unie inzake de plattelandsontwikkeling.
36,"The report also comments that in Greece there are no plans for medium to long-term measures aimed at reducing employment tax and insurance charges, or for the satisfactory use of European Social Fund resources to support employment policies, and, in addition, that there are no exact employment figures.",Verder wordt gezegd dat Griekenland geen enkele planning heeft voor maatregelen op de middellange en lange termijn met betrekking tot de vermindering van de fiscale en sociale lasten op arbeid en voor het doeltreffend gebruik van middelen uit het ESF ter ondersteuning van het werkgelegenheidsbeleid en dat er bovendien geen concrete werkgelegenheidsgegevens beschikbaar zijn.
37,"Mr President, Malta and Cyprus are very different from the countries of mainland Europe.","Mijnheer de Voorzitter, Malta en Cyprus zijn niet te vergelijken met landen op het Europese vasteland."
38,"Mr President, Commissioner, Director-General, I would particularly like to emphasise the following in relation to the von Wogau report: I welcome the Commission' s open-minded endeavours to initiate debate on the hitherto strict procedural rules, and to propose practical reform measures.","Mijnheer de Voorzitter, mijnheer de commissaris, dames en heren, inhakend op het verslag van de heer von Wogau wil ik allereerst duidelijk maken dat ik ingenomen ben met de inspanning van de Commissie om een taboe te doorbreken. Men is bereid over de tot nu toe onaantastbare procedureregels een debat in te leiden en concrete hervormingen voor te stellen."
39,"In that case, the tax could lead to a net loss of total economic prosperity.",In dat geval zou de belasting kunnen leiden tot een netto verlies aan totale economische welvaart.
40,"I have two questions. Firstly, you mentioned that you will start a two-way dialogue with the citizens and I am already making a start with the 700 placement students at the European Commission.","Twee vragen: ten eerste, u hebt gezegd dat u in gesprek gaat met de burgers en ik begin al met 700 stagiaires bij de Europese Commissie."
41,"If we continue to get bogged down with proposals that have given extremely poor results so far, I do not know what we or the Commission will be able to do.","Is het toeval dat dit juist de staatshuishoudingen zijn die flexibiliteit van de arbeidsmarkt en het bedrijfsleven tot het hoogste doel hebben uitgeroepen? Als wij door blijven ploeteren met altijd dezelfde voorstellen, met de voorstellen die tot nu toe alleen maar wrange vruchten hebben opgeleverd, weet ik niet hoe wij er uit moeten komen en dan weet ik vooral niet hoe de Commissie eruit moet komen."
42,"At last we are convinced that our young people may start to see an end to the tragic unemployment, the source of so much despair, if we can export to neighbouring countries the know-how which we have gained thanks to the operation of the European structural funds.","Wij zijn er tenslotte van overtuigd dat onze jongeren kunnen ontsnappen aan de dramatische werkloosheid, als wij onze knowhow, die we dankzij de Europese structuurfondsen hebben verkregen, kunnen exporteren naar onze buurlanden."
43,"The fact that the main responsibility for the peace process lies with the occupying country, Israel, does not prevent the Arab partners from also having a considerable share of the responsibility.","Dat de hoofdverantwoordelijkheid voor het vredesproces bij de bezettende macht Israël ligt, betekent niet dat de Arabische staten geen grote medeverantwoordelijkheid hebben."
44,Women are systematically raped.,Vrouwen worden systematisch verkracht.
45,"Finally, I want to say that I attach great importance to making a start on phasing out discharges, emissions and leaks of hazardous materials and to the fact that we can do this gradually but, at the same time, be set a target, namely the year 2020 by which time we should hopefully have reduced such emissions to zero.","Tot slot is het mijns inziens zeer belangrijk dat de lozing, de uitworp en het verlies van gevaarlijke stoffen worden teruggedrongen. Wij moeten dat geleidelijk kunnen doen, maar we moeten een einddoel vaststellen, namelijk het jaar 2020."
46,The possibility of using specified external channels will also be addressed.,De mogelijkheid om op specifieke externe kanalen een beroep te doen zal eveneens worden onderzocht.
47,Let me make clear to the honourable Member what the position is.,De zaak zit als volgt in elkaar.
48,"On the subject of these two initiatives, then, with the light they cast on future strategic and political thinking regarding regional planning and on future financial perspectives, let me express our great interest in this constructive dialogue with the European Parliament and its committees.","Beide initiatieven zijn van belang voor de toekomstige strategische en politieke overwegingen met betrekking tot de ruimtelijke ordening en de volgende financiële perspectieven. Wat deze initiatieven betreft, wil ik u laten weten dat we deze constructieve dialoog met het Parlement en zijn commissies zeer op prijs hebben gesteld."
49,This does not conflict with a financing model involving the building up of funds.,Dit is niet in strijd met een financieringsmodel met aandelenopbouw.
50,"Your sabre-rattling fools no one because, as you know perfectly well, whether you like it or not, you need Austria in order to reform the Treaties and harmonise savings tax.","Niemand trapt in die opschepperij van u, omdat u heel goed weet dat u, of u nu wilt of niet, Oostenrijk nodig heeft om de Verdragen en de belasting op spaargelden te hervormen."
51,"We are witnessing events of great political significance and I hope that we in the European Parliament can promote the appropriate favourable view and a generous attitude on the part of the Union, so that Cuba' s aspirations can meet with a positive response as soon as possible.","Deze situatie is politiek van groot belang, en ik hoop dat wij vanuit het Europees Parlement de welwillende en ruimhartige houding zullen bevorderen die de Unie dient in te nemen. Praktisch houdt dat in dat de Unie zo spoedig mogelijk positief op het Cubaanse streven moet reageren."
52,The OHIM is now in the process of arranging this and is expecting to move into the new premises by June.,Het BHIM is hier nu mee bezig en verwacht het nieuwe gebouw in juni te kunnen betrekken.
53,"Eliminating all remaining barriers to imports, tariff barriers and quotas and, just as important, non-tariff barriers, such as Mrs Maij-Weggen mentioned in her speech - eliminating these barriers would do more than any amount of development aid to secure for developing countries the economic progress which both we and they desire.","In zijn resolutie inzake de WTO-onderhandelingen sprak het Parlement zich uit voor een vrij invoerbeleid van de EU, door opheffing van de resterende invoerrestricties, invoerheffingen en invoerquota en de niet minder belangrijke, non-tarifaire beperkingen, zoals mevrouw Maij-Weggen ook al in haar betoog aangaf. De opheffing van die barrières zal voor de economische groei van de ontwikkelingslanden - waar zowel zij als wij naar streven - meer opleveren dan welk bedrag aan ontwikkelingshulp ook."
54,There are two issues I would like to draw your attention to.,Op twee onderwerpen zou ik uw aandacht willen vestigen.
55,"If you cannot tell us for this year, then last year and the year before.",Heeft iemand dankzij dit beleid een baan gevonden? Hoeveel mensen hebben daarmee een baan gevonden?
56,"Mr President, ever since Plato' s 'Republic' , the Western world has regularly been tempted to replace government by the people with government by experts.","Mijnheer de Voorzitter, sinds de ""Politeia"" van Plato komt de westerse wereld steeds weer in de verleiding om het bestuur door het volk te vervangen door een bestuur van wijzen."
57,I respect you as a serious Commissioner who wants to take his work seriously.,Ik respecteer u als een commissaris die zijn werk serieus opvat.
58,"The development partnerships are a very clever idea, even though they are experimental.","De partnerschappen voor het opzetten en uitvoeren van de programma's zijn een heel ingenieus idee, al zijn ze nog experimenteel."
59,Ireland is very supportive of the common position and many of the European Parliament amendments.,Ierland ondersteunt het gemeenschappelijke standpunt en een groot deel van de amendementen van het Europees Parlement van harte.
60,"However, when it comes to what the future holds for competition, there are two issues dear to my heart.",Voor de toekomst van de mededinging liggen twee punten mij bijzonder na aan het hart.
61,"Our Group emphasises the importance of the principle of subsidiarity, the responsibility of Member States and the role of local players in drafting and implementing programmes.","Onze fractie onderstreept het subsidiariteitsbeginsel, de verantwoordelijkheid van de lidstaten en de betekenis van lokale actoren bij het opstellen en het uitvoeren van de programma's."
62,"In the same context, we could establish an early warning system functioning round the clock, together with a common information system for the rapid exchange of data between the responsible authorities.","In dit verband kan ook gedacht worden aan de oprichting van een snel waarschuwingssysteem dat rond de klok actief is, en aan het opzetten van een gemeenschappelijk informatiesysteem voor snelle gegevensuitwisseling tussen de bevoegde autoriteiten."
63,"However, we must be sure to introduce certain conditions here.",Wij moeten echter bepaalde eisen stellen.
64,"Of course, it is always better to make more funding available more quickly - and I for one will always advocate this - but I do think that this programme opens up good opportunities for quite a few programmes.","Het is natuurlijk altijd beter, en ik zal daar ook altijd voor pleiten, meer geld beschikbaar te stellen en ook op een wat snellere manier. Maar ik denk toch dat dit programma goede kansen biedt voor tal van programma's."
65,It is also important to set percentages and a date for vehicles to be composed of recyclable materials.,Het is ook belangrijk dat we percentages en data vastleggen waarop de voertuigen uit kringloopmaterialen moeten bestaan.
66,"Personally, I am pleased with some of the replies, for example, in relation to issues as sensitive as Schengen and the Europol Convention, which we hope will be reviewed, and I am pleased with the words of the Minister for Justice with regard to trying to bring them under the jurisdiction of the judicial authorities.","Ik ben persoonlijk erg blij met enkele specifieke antwoorden, bijvoorbeeld in verband met Schengen of het Europol-verdrag, waarvan we hopen dat het zal worden herzien, en ik ben ook blij met de uitlatingen van de minister van Justitie, met name wanneer hij zegt dat de Raad wil proberen om Europol onder justitiële controle te brengen."
67,"We all agree that ensuring water quality is a hugely important objective, above all, given the adverse effects of developing a model of accelerated industrial growth on the natural environment.","Wij zijn het er allemaal over eens dat het bewaken van de waterkwaliteit een uiterst belangrijke doelstelling is, vooral vanwege de nadelige gevolgen die de ontwikkeling van het versneld industriële ontwikkelingsmodel voor de natuur heeft."
68,"I would like to welcome the division of labour that you have made and that food management will remain the responsibility of the European institutions, including the Commission and Parliament.","Ik ben blij met de taakverdeling die u voor ogen staat, waarbij beslissingen over voeding de bevoegdheid van de Europese instellingen blijft, onder meer die van de Commissie en het Parlement."
69,Is that not the lesson of the European Union itself and of the single market in particular?,Is dat niet ook de les die de Europese Unie in het algemeen en de interne markt in het bijzonder ons heeft geleerd?
70,One factor behind these developments that has been referred to in this debate is competition - competition between Member States on the cost of the production of food.,"Een van de factoren die tijdens dit debat al zijn genoemd, is de concurrentie. De lidstaten beconcurreren elkaar op productiekosten in de voedingsmiddelenindustrie."
71,"I should like to thank her not only for her work and for the report which she presented but also - and I do not see why I in turn should not say so too - for all we owe her, for all you owe her as far as this is initiative, as well as, more generally, all we owe Parliament.","Ik wil haar hartelijk bedanken, niet alleen voor het werk dat ze heeft verzet en voor het verslag dat ze heeft gepresenteerd, maar voor alles wat ze met betrekking tot dit initiatief voor uw en mijn instelling heeft gedaan. Verder wil ik meer in het algemeen het Europees Parlement bedanken voor wat het voor de Commissie heeft gedaan."
72,Portugal should not take a leaf out its predecessor' s book.,Van zijn Finse voorganger kan Portugal leren hoe het niet moet.
73,"In all such cases, however, strict criteria must be met and prior approval from the European Commission gained.",Maar in zulk soort gevallen moet er altijd voldaan worden aan strikte criteria en moet de Europese Commissie op voorhand haar toestemming verlenen.
74,"It should not be for each Member State, but for you and your staff, Commissioner, to decide whether these lightweight construction vehicles (and there is also talk of 3-litre vehicles) should receive preferential treatment. We think they should.","Of deze lichte voertuigen - deze drielitervoertuigen, zoals ze door velen ook wel genoemd worden - een afzonderlijke verbruiksnorm krijgen is niet iets dat elke lidstaat voor zich moet uitmaken, maar dat u, mevrouw de commissaris, samen met uw staf moet bepalen."
75,"Subject: Compliance with Directive 96/71/EC concerning the posting of workers The posting of workers directive has still not been implemented in Denmark, even though the deadline has passed.","Betreft: Tenuitvoerlegging van de richtlijn betreffende de terbeschikkingstelling van werknemers 96/71/EG De richtlijn betreffende de terbeschikkingstelling van werknemers is in Denemarken nog niet in de praktijk omgezet, hoewel de termijn daarvoor is verlopen."
76,They could clamp down on them since their head offices are here in Europe.,"We kunnen deze consortia overigens flink aanpakken, want hun hoofdvestigingen bevinden zich hier in Europa."
77,"I also think - as has already been mentioned - that there are certain problems with the financing arrangements, which we must solve.","Zoals hier reeds is gezegd, zijn er problemen met de financiële verordening die opgelost dienen te worden."
78,We of course look forward most keenly to continuing this task with you.,Vanzelfsprekend zouden we dit werk heel graag samen met u voortzetten.
79,So if she has any lectures to offer they are best contained within this House.,Als zij dus iemand de les wil lezen kan zij dit het best binnenshuis doen.
80,"At the same time they call for the existence of an independent body to coordinate and monitor the thoroughness of investigations by OLAF, without harming the administration of justice by each Member State and under the supervision of the European Court of Justice.",Tezelfdertijd wijzen zij op de noodzaak een onafhankelijk Europees orgaan in het leven te roepen dat de regelmatigheid van de onderzoeksactiviteiten van de OLAF coördineert en controleert. Dit dient onder toezicht van het Hof van Justitie van de Europese Gemeenschappen te gebeuren zonder dat hierdoor de rechtsbedeling in de lidstaten wordt aangetast.
81,"Amendment No 28, cancelling the third extension period, is an important step in the right direction.","Amendement 28 beoogt de schrapping van een derde verlengingstermijn, en dat is een belangrijke stap."
82,"Finally, among the priority parameters to be introduced at European level to enable local involvement, particular attention must be paid to the quality and originality of projects which have already been implemented by LAGs within the LEADER II initiative, but which could not be concluded due to the timetable and weight of the management mechanisms specified.","Tot slot zal er bijzondere aandacht moeten worden besteed aan de kwaliteit en de originaliteit van de projecten die zijn uitgevoerd door de Plaatselijke Groepen in het kader van LEADER II, maar die nog niet zijn afgerond wegens tijdsgebrek en de logge beheersvoorschriften. Dit moet een van de prioriteiten op Europese schaal worden om plaatselijke deelname te bevorderen."
83,"This is how we are going to judge the success of these guidelines: whether EU regional policy with a good, solid, enabling guideline, can open up new opportunities and allow our poor and structurally weak regions to play their full part in contributing to the growth and prosperity of the EU.","De resultaten van de richtsnoeren zullen wij beoordelen op de vraag of een Europees regionaal beleid met een degelijk, uitvoerbaar richtsnoer nieuwe mogelijkheden kan creëren en of het onze arme en structureel zwakke regio's ertoe kan aanzetten een volwaardige bijdrage te leveren tot de groei en de welvaart van de Europese Unie."
84,On the contrary.,Ik vind daarom de inhoud van paragraaf 7 uiterst belangrijk.
85,"Thirdly, the EU and the ACP have also agreed on a new specific procedure to be launched in serious cases of corruption.","Ten derde hebben de EU en de ACS-landen overeenstemming bereikt over het gebruik van een nieuwe, specifieke procedure voor ernstige gevallen van corruptie."
86,The operation of the previous round of programmes is also very instructive in telling us what guidelines should not be about.,De tenuitvoerlegging van de vorige reeks programma's heeft ons veel geleerd over hetgeen de richtsnoeren vooral niet moeten doen.
87,"My delegation of 37 Conservative and Unionist Members from the United Kingdom reject absolutely the underlying philosophy, programme and tone of Austria' s Freedom Party.","Mijn delegatie van 37 conservatieve en unionistische afgevaardigden van het Verenigd Koninkrijk is het volstrekt niet eens met de onderliggende filosofie, het programma of het discours van de Oostenrijkse Vrijheidspartij."
88,This has meant a reduction in the number of amendments - from over 100 in committee to 22 for the plenary - which has also created numerous opportunities for compromises.,Daardoor hebben we het aantal amendementen kunnen verlagen van meer dan 100 in de commissie tot 22 in de plenaire vergadering. Daardoor hebben we ook vaak een compromis kunnen vinden.
89,Does section 11(1) conceivably authorise the following practice.,"Maar zou ook de volgende handelwijze oorbaar zijn volgens artikel 11, lid 1?"
90,"I am thinking in particular here of fish and shellfish companies, which have been particularly badly hit.","Ik denk heel in het bijzonder aan de vissersbedrijven en schelpkwekerijen, die zeer zwaar getroffen zijn."
91,"However, we must remember that, in addition to URBAN, a number of other Community instruments are also available in the social sector: innovative actions under Article 6 of the ESF regulation, pilot projects, particularly the new preparatory action for local commitment to employment that has just been introduced by the European Parliament under the 2000 budget and the EQUAL and INTERREG initiatives and mainstream ESF activities.","Men mag echter niet vergeten dat in de sociale sector, afgezien van URBAN, ook talrijke andere communautaire instrumenten voorhanden zijn. Ik noem als voorbeeld de innovatieve maatregelen overeenkomstig artikel 6 van het Sociaal Fonds, proefprojecten - en met name de nieuwe voorbereidende actie met het oog op de ontwikkeling van lokale werkgelegenheid, die het Parlement met de begroting 2000 in het leven heeft geroepen - de initiatieven EQUAL en INTERREG en de mainstreaming van het Sociaal Fonds."
92,"These are sound, first steps which illustrate that, if this Parliament so wishes, changes are not only possible but can also be translated into action quickly.","Dit zijn goede eerste stappen die aantonen dat, als dit Parlement het wil, veranderingen niet alleen mogelijk zijn maar ook snel in daden kunnen worden omgezet."
93,"The European Parliament has been at the forefront of the battle to promote and defend human rights, and it has succeeded in overcoming the limits imposed by self-interest and ""national interests"" , which are sometimes reflected in the positions adopted by the Member States and even by other European Union institutions.","De bevordering en de verdediging van de mensenrechten moet bovenal op naam van het Europees Parlement worden geschreven. Het Parlement is er immers in geslaagd de grenzen van het egoïsme en de ""nationale belangen"" te overstijgen, twee elementen die meer dan eens in de standpunten van de lidstaten en zelfs in de houding van de overige instellingen van de Unie tot uiting komen."
94,How do we ensure that unlawful state aid is paid back?,Hoe kunnen wij ervoor zorgen dat onwettig betaalde overheidssteun terugbetaald wordt?
95,This sounds perfectly feasible.,Dat lijkt me geen enkel probleem.
96,Only in Europe are human rights enforceable in law.,De mensenrechten zijn alleen in Europa in de wet verankerd.
97,"It will become more difficult once we see the TSE proposal, Mr Byrne.","Vooraf wil ik graag opmerken dat het deel van het complexe verslag dat de heer Böge behandeld heeft, relatief eenvoudig is."
98,I am fully in agreement with the monitoring committee and the rapporteur on this point.,Ik ben het op dat punt helemaal eens met het controlecomité en met mevrouw Theato.
99,"Mr President, I am taking the floor to express my opinion, drawn from my experience of municipal administration, that the URBAN projects should, or rather must, have a threefold purpose: firstly, to promote the restoration of infrastructure and historic, old and perhaps dilapidated areas of cities.","Mijnheer de Voorzitter, ik neem het woord om op basis van mijn ervaring in een gemeentebestuur te zeggen dat het juist is, en ik zou zelfs durven zeggen noodzakelijk, dat het programma URBAN zich op een drietal zaken richt. Ten eerste op het bevorderen van het herstel van infrastructuur en wijken in de oude binnensteden, die soms vervallen zijn."
100,Too often we have put forward recommendations and they have not been acted upon even though you have said very often that you will act on them.,"Al te vaak hebben wij aanbevelingen gedaan waaraan, ondanks formele beloften, geen gevolg is gegeven."
101,"In the new programme submitted for the period from 2000 to 2006, which is being financed from the Social Fund, both the resources and the policies should be used, with the Commission' s support, to implement the objectives which I referred to earlier.","In het nieuwe programma voor de periode 2000-2006, dat door het Sociaal Fonds wordt gefinancierd, zullen met behulp van de Commissie alle noodzakelijke beleidsvormen en middelen moeten worden aangewend om de bovengenoemde doelstellingen te bereiken."
102,The real priority for the European continent is to establish an operational level within a European framework and not a global framework as proposed by the rapporteur.,"We mogen niet uit het oog verliezen dat de echte prioriteit voor het Europese continent bestaat in het creëren van een operationeel niveau op Europees vlak, niet op wereldwijd vlak, zoals de rapporteur voorstelt."
103,"I would have liked to hear your discussion with the Austrian President, Mr Poettering. We are well aware that he is very embarrassed today at the dirty deal that government has done in forming such an alliance.","Mijnheer Poettering, ik had graag gezien dat u een gesprek zou aangaan met de Oostenrijkse president, die, zoals iedereen weet, enorm in verlegenheid is gebracht door deze verschrikkelijke alliantie van partijen die samen de regering gaan vormen."
104,For no one is very keen to spend money on culture.,Niemand wil immers echt geld geven voor cultuur.
105,"We accept that Europeans, particularly the younger generation, need to be given a broad perspective of where Europe will be in the years ahead.","Die doelstellingen zijn een succesvolle uitbreiding, succes voor Europa als e-business-grootmacht en de invoering van betere grondslagen voor het bestuur. We zijn het ermee eens dat we de Europese burgers, vooral de jongere generaties, een goed beeld moeten geven van de richting waarin Europa zich de komende jaren zal ontwikkelen."
106,Water and air surround us everywhere.,Wij worden overal door water en lucht omgeven.
107,"I want to stress that it is extremely important to promote this specific initiative as quickly as possible, both for reasons of political timing and because we believe that it is important that it should begin as planned, in other words, we must be absolutely ready by the end of 2000.",Ik wil nogmaals aandringen op snelle vooruitgang bij de behandeling van het onderhavig initiatief. Daarbij denken wij niet alleen aan de huidige politieke conjunctuur.
108,The McCarthy report on the URBAN Community Initiative gives us an opportunity to reflect on the appropriateness of Community intervention in urban matters.,Het verslag-McCarthy over het communautair initiatief URBAN biedt ons de gelegenheid na te denken over de opportuniteit van een communautair ingrijpen in het stedelijk beleid.
109,"Firstly, and as the Commission itself states, it must be understood that the great improvement seen by some of the poorest regions in their per capita GDP between 1991 and 1996 was largely due to the inclusion of the new German Länder in calculating the Community average from 1991 onwards.","Zoals de Commissie zelf terecht opmerkt, is de krachtige toename van het BBP per hoofd van de bevolking van de zogenaamde armere regio's tussen 1991 en 1996 grotendeels toe te schrijven aan het feit dat de berekeningen van het communautaire gemiddelde ook de cijfers van de nieuwe Duitse deelstaten omvatten."
